reading_id,machine_id,timestamp,avg_fuel_consumption_rate,idle_fuel_consumption_pct,rpm_variance,coolant_temp_anomalies,productive_time_mins,idle_time_mins,vibration_anomalies,overload_cycles,over_speed_events,tire_pressure_deviations,error_code_frequency,battery_low_voltage_events,anomaly_score,is_anomaly
500469,32,2025-08-27 22:33:00+00:00,9.364,31.77,199.27,0,2,13,15,6,1,0,0,0,0.5474429507631193,0
500970,93,2025-08-27 22:33:00+00:00,11.187,27.43,162.92,0,3,12,17,6,0,0,0,0,0.43764391835396393,0
501471,149,2025-08-27 22:33:00+00:00,5.949,25.26,92.14,0,3,12,0,0,0,0,0,0,0.37049618517736554,0
500369,21,2025-08-27 22:36:00+00:00,8.386,20.38,216.36,0,3,12,23,13,0,0,0,0,0.4881252490335614,0
500870,67,2025-08-27 22:36:00+00:00,10.851,23.11,219.55,0,3,12,17,17,0,0,1,0,0.5528706156692392,0
501371,143,2025-08-27 22:36:00+00:00,11.427,22.33,50.81,0,3,12,0,0,0,0,0,0,0.36112908302367036,0
500269,20,2025-08-27 22:39:00+00:00,11.412,31.06,177.92,1,2,13,9,16,0,0,0,0,0.4863820235216982,0
500770,57,2025-08-27 22:39:00+00:00,4.819,25.03,187.94,0,3,12,17,12,0,0,0,0,0.44714773455107054,0
501271,131,2025-08-27 22:39:00+00:00,8.23,32.74,88.42,0,3,12,0,0,0,0,0,0,0.37253053283555093,0
500169,19,2025-08-27 22:42:00+00:00,13.413,28.81,130.35,0,2,13,20,6,0,0,0,0,0.461502236115794,0
500670,55,2025-08-27 22:42:00+00:00,5.951,23.24,202.57,0,2,13,24,6,0,1,0,0,0.5787661231019476,0
501171,129,2025-08-27 22:42:00+00:00,5.895,28.35,45.59,0,3,12,0,0,1,1,0,0,0.5418098574499578,0
500069,13,2025-08-27 22:45:00+00:00,9.784,28.49,212.73,0,2,13,14,14,1,0,0,0,0.5483808727613918,0
500570,43,2025-08-27 22:45:00+00:00,5.025,25.33,185.47,0,3,12,14,9,0,0,0,0,0.4399369774782988,0
501071,98,2025-08-27 22:45:00+00:00,7.037,24.61,73.67,0,2,13,0,0,0,0,0,0,0.36932227482359004,0
500470,32,2025-08-27 22:48:00+00:00,8.523,24.26,121.97,0,3,12,18,10,0,0,0,0,0.4378369893579527,0
500971,93,2025-08-27 22:48:00+00:00,12.785,27.08,40.79,0,2,13,0,0,0,0,0,0,0.374746325893808,0
501472,149,2025-08-27 22:48:00+00:00,5.554,22.45,46.46,0,3,12,0,1,0,0,0,0,0.3672301266153568,0
500370,21,2025-08-27 22:51:00+00:00,9.132,23.85,166.69,0,3,12,19,10,0,0,0,0,0.44088851883576446,0
500871,67,2025-08-27 22:51:00+00:00,10.521,30.02,79.53,0,2,13,0,0,0,0,0,0,0.3692921595919437,0
501372,143,2025-08-27 22:51:00+00:00,14.116,28.06,54.78,0,2,13,1,0,0,0,0,0,0.39576585818290294,0
500270,20,2025-08-27 22:54:00+00:00,11.334,33.67,212.99,0,3,12,18,9,0,0,0,0,0.4712101346773879,0
500771,57,2025-08-27 22:54:00+00:00,5.239,31.72,61.65,0,3,12,0,0,0,0,1,0,0.4834761736681038,0
501272,131,2025-08-27 22:54:00+00:00,10.086,27.19,51.89,0,3,12,0,0,0,0,0,0,0.3582659145333628,0
500170,19,2025-08-27 22:57:00+00:00,11.845,23.05,146.22,0,3,12,20,14,0,0,0,1,0.5574756733310091,0
500671,55,2025-08-27 22:57:00+00:00,5.493,29.89,68.33,0,3,12,1,0,0,1,0,0,0.4946838192562184,0
501172,129,2025-08-27 22:57:00+00:00,5.527,30.0,32.33,0,2,13,0,0,0,0,0,0,0.3787076749077886,0
500070,13,2025-08-27 23:00:00+00:00,9.794,31.69,216.14,0,3,12,12,12,0,0,0,0,0.4451446593326579,0
500571,43,2025-08-27 23:00:00+00:00,5.295,25.98,51.75,0,2,13,0,0,0,0,0,0,0.3705831406771137,0
501072,98,2025-08-27 23:00:00+00:00,7.672,22.21,44.09,0,3,12,0,0,0,0,0,0,0.3631846608423292,0
500471,32,2025-08-27 23:03:00+00:00,9.063,25.21,33.55,0,2,13,0,0,0,0,0,0,0.3684094706747047,0
500972,93,2025-08-27 23:03:00+00:00,12.062,32.16,51.98,0,2,13,1,0,0,0,0,0,0.38763189815049465,0
501473,149,2025-08-27 23:03:00+00:00,5.466,27.41,57.89,0,3,12,0,0,0,0,0,0,0.36597439196398784,0
500371,21,2025-08-27 23:06:00+00:00,9.085,24.68,39.31,0,3,12,0,0,0,0,0,0,0.36141058697551137,0
500872,67,2025-08-27 23:06:00+00:00,10.169,24.23,75.2,0,3,12,1,0,0,0,0,0,0.3757897324168768,0
501373,143,2025-08-27 23:06:00+00:00,13.692,29.2,55.76,0,2,13,0,0,0,1,0,0,0.49106223480285865,0
500271,20,2025-08-27 23:09:00+00:00,10.564,31.78,54.62,0,2,13,0,0,0,0,1,0,0.46796972579893736,0
500772,57,2025-08-27 23:09:00+00:00,5.403,26.94,48.44,0,2,13,0,0,0,0,0,0,0.37284325342467745,0
501273,131,2025-08-27 23:09:00+00:00,9.313,27.44,55.05,0,3,12,0,0,0,0,0,0,0.357574387315264,0
500171,19,2025-08-27 23:12:00+00:00,12.6,34.75,61.71,0,3,12,0,0,0,0,0,0,0.3734193884206145,0
500672,55,2025-08-27 23:12:00+00:00,5.125,24.96,45.85,0,3,12,0,0,0,0,0,0,0.3693794194826875,0
501173,129,2025-08-27 23:12:00+00:00,6.484,30.46,41.26,0,2,13,0,0,0,0,0,0,0.373564536484557,0
500071,13,2025-08-27 23:15:00+00:00,10.968,22.8,63.08,0,3,12,0,0,1,0,0,0,0.4672839620865063,0
500572,43,2025-08-27 23:15:00+00:00,5.56,29.49,66.3,0,2,13,0,0,0,1,0,0,0.4803363151476464,0
501073,98,2025-08-27 23:15:00+00:00,8.977,32.34,51.53,0,3,12,0,0,0,1,0,0,0.47190209003479505,0
500472,32,2025-08-27 23:18:00+00:00,9.312,20.28,34.37,0,3,12,0,1,0,0,0,0,0.3658328453684463,0
500973,93,2025-08-27 23:18:00+00:00,9.883,27.07,44.16,0,2,13,0,0,0,0,0,0,0.3660749180676568,0
501474,149,2025-08-27 23:18:00+00:00,6.69,24.67,32.94,0,2,13,0,0,0,0,0,0,0.3740844353025839,0
500372,21,2025-08-27 23:21:00+00:00,8.591,27.02,48.13,1,2,13,0,0,0,0,0,0,0.42778285166354696,0
500873,67,2025-08-27 23:21:00+00:00,10.648,26.78,50.18,0,3,12,0,0,0,0,0,0,0.35883960377126534,0
501374,143,2025-08-27 23:21:00+00:00,12.204,21.17,40.02,0,2,13,0,0,0,0,0,0,0.3748535677651812,0
500272,20,2025-08-27 23:24:00+00:00,12.693,22.5,70.89,0,3,12,1,0,0,0,0,0,0.3862680032918877,0
500773,57,2025-08-27 23:24:00+00:00,4.569,31.62,7.91,0,3,12,0,0,1,0,0,0,0.5176564625661116,0
501274,131,2025-08-27 23:24:00+00:00,8.337,28.17,93.03,0,2,13,0,1,0,0,0,0,0.37086373009248697,0
500172,19,2025-08-27 23:27:00+00:00,13.847,20.89,85.28,1,3,12,0,0,0,0,0,0,0.4386227980865564,0
500673,55,2025-08-27 23:27:00+00:00,7.1,29.21,27.44,0,3,12,0,0,0,1,0,0,0.47934822807314226,0
501174,129,2025-08-27 23:27:00+00:00,6.313,27.86,32.81,0,2,13,1,0,0,0,0,0,0.39801989765639006,0
500072,13,2025-08-27 23:30:00+00:00,10.551,33.87,43.21,0,2,13,0,0,0,0,0,0,0.3693643500039994,0
500573,43,2025-08-27 23:30:00+00:00,4.586,29.14,61.63,0,3,12,0,0,0,0,0,0,0.376900643383021,0
501074,98,2025-08-27 23:30:00+00:00,7.361,29.54,26.32,0,2,13,0,0,0,0,0,0,0.37926354986140803,0
500473,32,2025-08-27 23:33:00+00:00,8.817,21.5,29.44,0,3,12,0,0,0,0,0,0,0.370810050542626,0
500974,93,2025-08-27 23:33:00+00:00,9.059,27.93,27.22,0,2,13,0,0,0,0,0,0,0.37510184426358945,0
501475,149,2025-08-27 23:33:00+00:00,7.472,6.65,42.74,0,15,0,0,0,23,18,0,0,0.637180373675541,1
500373,21,2025-08-27 23:36:00+00:00,8.51,30.49,72.1,1,2,13,0,0,0,0,0,0,0.43061469363501603,0
500874,67,2025-08-27 23:36:00+00:00,10.899,25.79,50.74,0,3,12,0,0,0,0,0,0,0.35838762689308673,0
501375,143,2025-08-27 23:36:00+00:00,21.014,6.13,78.48,0,15,0,0,0,17,19,0,0,0.6599715956465829,1
500273,20,2025-08-27 23:39:00+00:00,11.257,29.68,61.65,0,2,13,0,0,0,0,0,0,0.3657068494929332,0
500774,57,2025-08-27 23:39:00+00:00,5.324,30.28,60.48,0,3,12,0,0,0,1,0,0,0.4769320700792789,0
501275,131,2025-08-27 23:39:00+00:00,12.532,7.5,28.12,0,15,0,0,0,22,19,0,0,0.6456483246042733,1
500173,19,2025-08-27 23:42:00+00:00,14.163,30.33,59.12,0,2,13,0,0,0,0,0,0,0.38026203513982615,0
500674,55,2025-08-27 23:42:00+00:00,5.989,22.93,37.73,0,3,12,1,0,0,0,0,0,0.3941220164560179,0
501175,129,2025-08-27 23:42:00+00:00,8.051,8.25,63.85,0,15,0,0,0,22,7,1,0,0.6891102090367582,1
500073,13,2025-08-27 23:45:00+00:00,11.553,32.83,53.96,0,3,12,0,0,1,0,0,0,0.47529153518748757,0
500574,43,2025-08-27 23:45:00+00:00,5.312,21.46,61.79,0,2,13,0,0,0,0,0,0,0.37487774222201437,0
501075,98,2025-08-27 23:45:00+00:00,11.133,6.68,87.77,0,15,0,0,1,12,11,0,0,0.6420738086631822,1
500474,32,2025-08-27 23:48:00+00:00,9.095,23.92,103.28,0,2,13,0,0,0,0,0,0,0.3754241379311385,0
500975,93,2025-08-27 23:48:00+00:00,19.749,3.44,55.51,0,15,0,0,0,10,18,0,0,0.6519897596595066,1
501476,149,2025-08-27 23:48:00+00:00,10.205,7.29,60.69,0,15,0,0,0,22,17,0,0,0.6356297281422716,1
500374,21,2025-08-27 23:51:00+00:00,9.579,29.83,28.07,0,3,12,0,0,1,0,0,0,0.4779088433973645,0
500875,67,2025-08-27 23:51:00+00:00,14.913,5.82,72.08,0,15,0,1,0,9,13,0,0,0.6798740539582077,1
