machine_id,asset_type,manufacturer,year_of_manufacture,current_location_lat,current_location_lon,status,rental_price_per_hour,rental_price_per_day
1,crane,Volvo CE,2020,12.896723,77.670415,available,1955.91,12177.7
2,bulldozer,Volvo CE,2019,23.060475,72.597268,rented,1751.26,10387.05
3,crane,JCB,2019,13.124841,80.321741,rented,2002.34,13388.55
4,bulldozer,Komatsu,2022,12.892598,77.662825,available,1693.07,9925.4
5,crane,Liebherr,2023,12.91183,77.651885,rented,1822.19,15215.15
6,excavator,Caterpillar,2024,26.902459,75.853281,rented,1353.47,10229.31
7,crane,Sany,2022,22.524198,88.300881,rented,2053.63,13359.03
8,loader,Volvo CE,2017,26.975053,75.852584,rented,1135.23,7920.38
9,compactor,Volvo CE,2024,26.907381,75.812458,rented,1121.69,6580.43
10,bulldozer,Volvo CE,2019,22.593915,88.425754,available,1554.92,11431.2
11,bulldozer,Sany,2023,23.039941,72.617875,rented,1701.06,10740.07
12,excavator,Doosan,2021,18.494702,73.893266,rented,1251.02,7394.35
13,excavator,Sany,2021,26.89864,75.748716,rented,1264.5,9180.11
14,crane,Doosan,2021,23.038269,72.632357,under_maintenance,1683.04,12354.99
15,bulldozer,Caterpillar,2021,23.059809,72.601954,rented,1880.5,12154.15
16,excavator,Volvo CE,2022,18.541763,73.924479,rented,1443.8,9637.56
17,bulldozer,Caterpillar,2021,26.876457,75.747152,rented,1662.99,10902.06
18,loader,Komatsu,2023,12.942654,77.678631,available,1212.57,8268.96
19,bulldozer,Caterpillar,2020,26.907435,75.79513,rented,1876.17,12637.07
20,excavator,JCB,2020,13.02581,77.549786,rented,1233.4,8203.03
21,crane,Sany,2023,23.039641,72.630249,rented,1979.23,12749.89
22,crane,Volvo CE,2023,22.588881,88.414396,rented,2168.19,14769.86
23,excavator,JCB,2024,26.901977,75.853519,rented,1347.0,7875.99
24,loader,Sany,2023,26.904643,75.759816,rented,1093.29,6926.22
25,crane,JCB,2023,22.592601,88.420637,available,1880.23,10907.83
