analytics_id,machine_id,log_timestamp,fuel_efficiency_score,engine_stability_score,utilization_ratio,wear_and_tear_index,safety_score,downtime_risk_pct
1,1,2025-05-30T00:00:00Z,100.0,82.04,65.78,30,100,0.01
2,1,2025-05-31T00:00:00Z,99.23,90.56,72.14,30,98,0.01
3,1,2025-06-01T00:00:00Z,88.11,98.16,53.2,33,100,0.01
4,1,2025-06-02T00:00:00Z,100.0,100.0,68.28,30,98,0.0
5,1,2025-06-03T00:00:00Z,85.95,100.0,72.64,33,100,0.01
6,1,2025-06-04T00:00:00Z,94.19,100.0,57.84,30,94,0.01
7,1,2025-06-05T00:00:00Z,94.14,100.0,63.96,30,100,0.0
8,1,2025-06-06T00:00:00Z,100.0,98.83,70.32,30,100,0.0
9,1,2025-06-07T00:00:00Z,100.0,83.51,64.84,30,100,0.01
10,1,2025-06-08T00:00:00Z,96.27,100.0,70.89,30,100,0.0
11,1,2025-06-09T00:00:00Z,87.83,100.0,60.46,30,98,0.01
12,1,2025-06-10T00:00:00Z,77.97,80.71,54.43,30,90,0.04
13,1,2025-06-11T00:00:00Z,100.0,68.71,54.22,36,98,0.02
14,1,2025-06-12T00:00:00Z,100.0,97.01,58.68,30,98,0.0
15,1,2025-06-13T00:00:00Z,97.29,95.72,56.5,30,98,0.01
16,1,2025-06-14T00:00:00Z,87.57,94.11,61.77,33,98,0.01
17,1,2025-06-15T00:00:00Z,100.0,88.68,60.25,30,98,0.01
18,1,2025-06-16T00:00:00Z,100.0,100.0,74.28,33,98,0.0
19,1,2025-06-17T00:00:00Z,89.23,90.22,60.69,30,98,0.01
20,1,2025-06-18T00:00:00Z,87.11,98.19,54.06,33,100,0.01
21,1,2025-06-19T00:00:00Z,100.0,100.0,67.48,30,100,0.0
22,1,2025-06-20T00:00:00Z,79.59,84.72,59.86,33,100,0.02
23,1,2025-06-21T00:00:00Z,100.0,96.68,69.55,30,98,0.0
24,1,2025-06-22T00:00:00Z,85.0,75.11,59.89,32,100,0.02
25,1,2025-06-23T00:00:00Z,100.0,97.19,63.81,30,100,0.0
26,1,2025-06-24T00:00:00Z,87.62,97.3,59.28,33,100,0.01
27,1,2025-06-25T00:00:00Z,100.0,89.09,59.82,30,100,0.01
28,1,2025-06-26T00:00:00Z,91.27,100.0,57.8,30,100,0.01
29,1,2025-06-27T00:00:00Z,100.0,81.72,75.48,33,100,0.01
30,1,2025-06-28T00:00:00Z,92.85,100.0,60.43,36,98,0.01
31,1,2025-06-29T00:00:00Z,93.14,72.32,54.54,30,100,0.02
32,1,2025-06-30T00:00:00Z,100.0,55.0,70.27,30,98,0.02
33,1,2025-07-01T00:00:00Z,75.43,84.57,55.33,30,100,0.02
34,1,2025-07-02T00:00:00Z,89.37,91.22,53.3,35,100,0.01
35,1,2025-07-03T00:00:00Z,90.9,80.85,54.85,30,100,0.01
36,1,2025-07-04T00:00:00Z,91.13,100.0,54.01,30,100,0.01
37,1,2025-07-05T00:00:00Z,92.88,100.0,53.78,30,100,0.01
38,1,2025-07-06T00:00:00Z,81.62,85.08,71.33,32,100,0.02
